conversation_id,text,manipulation_type,is_manipulation,context_type,conversation_length,word_count_total,question_count,denial_count
conv_00000,"A: Remember when I helped you?
B: So, i'm just really tired today.
A: I was tired when I drove 3 hours to help you move. But I did it anyway.",guilt_tripping,True,friend,3,28,1,0
conv_00001,"A: I don't tell just anyone this, but I really value your opinion.
B: What do you mean?
A: Most people wouldn't understand. But you? You get it.
B: Well, i'm not sure I do.
A: Trust me, you're more capable than you realize. That's why I'm coming to you.
B: I don't know what to say...",charm_flattery,True,friend,6,51,2,5
conv_00002,"A: Just do it
B: Um, i contribute too.
A: Barely. Without me, you'd have nothing.
B: Maybe I was wrong
A: Try surviving on your own then. See how long you last.
B: Can we talk about this?
A: There's nothing to discuss.",direct_coercion,True,family,7,37,1,6
conv_00003,"A: You're being way too sensitive about this.
B: I just feel like you dismissed me in front of everyone.
A: No one else noticed. It's all in your head.
B: Uh, maybe I was wrong
B: This is hard for me.
A: It's not about you.",gaslighting,True,friend,6,41,0,5
conv_00004,"A: Go ahead. Have fun. I'll just stay here alone.
B: You could come with me?
A: A good child would help
B: Like, that's not what I said...",guilt_tripping,True,friend,4,25,1,2
conv_00005,"A: I'm already planning our future together. Isn't that exciting?
B: We've only been together a month.
A: I've bought you something special. You'll care about it. I know everything about you.",love_bombing,True,friend,3,29,1,1
conv_00006,"A: You have one hour to decide. After that, I'm done.
B: So, i can't make a decision this fast.
A: Not my problem. Clock's ticking.
B: Can we please talk about this?",direct_coercion,True,coworker,4,29,1,3
conv_00007,"A: I'm already planning our future together. Isn't that exciting?
B: Well, we've only been together a month.
A: I've bought you something special. You'll care about it. I know everything about you.
B: If you say so",love_bombing,True,friend,4,34,1,1
conv_00008,"A: Cancel your plans tonight. I need to see you.
B: Why would you say that?
A: But I made special plans for us. I've been thinking about you all day.
B: Are you sure?
A: They don't understand you like I do. No one does.
B: Can we talk about this?",love_bombing,True,coworker,6,46,3,2
conv_00009,"A: I've been feeling stressed about the presentation.
B: That's understandable. Want to practice together?
A: That would really help, thanks.",neutral,False,coworker,3,18,1,0
