class,precision,recall,f1_score,support
Accusation,0.0,0.0,0.0,36
"Accusation,Brandishing Anger",0.0,0.0,0.0,1
"Accusation,Denial",0.0,0.0,0.0,1
"Accusation,Persuasion or Seduction",0.0,0.0,0.0,3
"Accusation,Playing Victim Role",0.0,0.0,0.0,1
"Accusation,Rationalization",0.0,0.0,0.0,2
"Accusation,Shaming or Belittlement",0.0,0.0,0.0,4
Brandishing Anger,0.0,0.0,0.0,11
"Brandishing Anger,Accusation",0.0,0.0,0.0,3
"Brandishing Anger,Intimidation",0.0,0.0,0.0,2
"Brandishing Anger,Persuasion or Seduction",0.0,0.0,0.0,2
"Brandishing Anger,Shaming or Belittlement",0.0,0.0,0.0,1
Denial,0.0,0.0,0.0,11
"Denial,Accusation",0.0,0.0,0.0,2
"Denial,Evasion",0.0,0.0,0.0,1
"Denial,Feigning Innocence",0.0,0.0,0.0,1
"Denial,Intimidation",0.0,0.0,0.0,1
"Denial,Rationalization",0.0,0.0,0.0,1
Evasion,0.0,0.0,0.0,12
"Evasion,Accusation",0.0,0.0,0.0,1
"Evasion,Intimidation",0.0,0.0,0.0,1
"Evasion,Persuasion or Seduction",0.0,0.0,0.0,1
"Evasion,Rationalization",0.0,0.0,0.0,1
Feigning Innocence,0.0,0.0,0.0,7
"Feigning Innocence,Accusation",0.0,0.0,0.0,1
"Feigning Innocence,Rationalization",0.0,0.0,0.0,1
Intimidation,0.0,0.0,0.0,46
"Intimidation,Accusation",0.0,0.0,0.0,3
"Intimidation,Brandishing Anger",0.0,0.0,0.0,2
"Intimidation,Persuasion or Seduction",0.0,0.0,0.0,6
"Intimidation,Shaming or Belittlement",0.0,0.0,0.0,1
OTHER,0.0,0.0,0.0,12
Persuasion or Seduction,0.2668213457076566,1.0,0.42124542124542125,115
"Persuasion or Seduction,Accusation",0.0,0.0,0.0,1
"Persuasion or Seduction,Intimidation",0.0,0.0,0.0,3
"Persuasion or Seduction,Rationalization",0.0,0.0,0.0,1
"Persuasion or Seduction,Shaming or Belittlement",0.0,0.0,0.0,2
Playing Servant Role,0.0,0.0,0.0,2
"Playing Servant Role,Persuasion or Seduction",0.0,0.0,0.0,1
Playing Victim Role,0.0,0.0,0.0,7
"Playing Victim Role,Accusation",0.0,0.0,0.0,3
"Playing Victim Role,Shaming or Belittlement",0.0,0.0,0.0,1
Rationalization,0.0,0.0,0.0,22
"Rationalization,Accusation",0.0,0.0,0.0,3
"Rationalization,Brandishing Anger",0.0,0.0,0.0,1
"Rationalization,Feigning Innocence",0.0,0.0,0.0,1
"Rationalization,Intimidation",0.0,0.0,0.0,2
"Rationalization,Persuasion or Seduction",0.0,0.0,0.0,9
"Rationalization,Shaming or Belittlement",0.0,0.0,0.0,2
Shaming or Belittlement,0.0,0.0,0.0,47
"Shaming or Belittlement,Accusation",0.0,0.0,0.0,14
"Shaming or Belittlement,Accusation,Persuasion or Seduction",0.0,0.0,0.0,1
"Shaming or Belittlement,Brandishing Anger",0.0,0.0,0.0,4
"Shaming or Belittlement,Brandishing Anger,Accusation",0.0,0.0,0.0,1
"Shaming or Belittlement,Denial",0.0,0.0,0.0,1
"Shaming or Belittlement,Intimidation",0.0,0.0,0.0,4
"Shaming or Belittlement,Persuasion or Seduction",0.0,0.0,0.0,4
